product_ID,product_name,price1,price2,unitcost,supplier_name,attn,supplier_address,supplier_city,supplier_state,supplier_zip,producttype_ID,producttype_description,buid,name,abbrev,division
1,Enumerator Polishing Equipment       ,164,142,120,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
2,Planetesimal Manufacturing Equipment ,347,307,250,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
3,Tailor Jacks                         ,509,429,399,TPC West    ,N/A,N/A,N/A,N/A,0,15,Jacks                  ,D        ,Miscellaneous           ,Misc          ,PEC
4,Miniaturizing Manufacturing Equipment,456,379,325,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
5,Flake Photo Equipment                ,232,204,170,            ,N/A,N/A,N/A,N/A,0,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,PEC
6,Denigrating Polishing Equipment      ,565,454,402,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
7,Bandage Manufacturing Equipment      ,298,267,234,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
8,Chalmers Polishing Equipment         ,289,242,215,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
9,Defeated Tray Supplies               ,559,476,448,TPC West    ,N/A,N/A,N/A,N/A,0,8,Tray Supplies          ,B        ,Disposable Supplies     ,Supplies      ,PEC
10,Chartable Photo Equipment            ,410,347,295,            ,N/A,N/A,N/A,N/A,0,9,Photo Chemicals        ,C        ,Chemicals               ,Chemicals     ,PEC
11,Sailors Manufacturing Equipment      ,340,290,235,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
12,Chromium Photo Equipment             ,565,457,326,            ,N/A,N/A,N/A,N/A,0,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,PEC
13,Coward Covers                        ,429,348,328,TPC East    ,N/A,N/A,N/A,N/A,0,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,PEC
14,Travelings Photo Chemicals           ,274,242,225,TPC West    ,N/A,N/A,N/A,N/A,0,9,Photo Chemicals        ,C        ,Chemicals               ,Chemicals     ,PEC
15,Syntax Polishing Equipment           ,226,190,123,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
16,Insensitivity Manufacturing Equipment,200,180,117,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
17,Sortie Covers                        ,248,213,206,TPC East    ,N/A,N/A,N/A,N/A,0,13,Covers                 ,D        ,Miscellaneous           ,Misc          ,PEC
18,Allis Polishing Equipment            ,201,176,112,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
19,Habitually Manufacturing Equipment   ,509,419,354,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
20,Courthouses Manufacturing Equipment  ,285,243,182,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
21,Weeks Polishing Equipment            ,198,174,151,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
22,Extinguisher Manufacturing Equipment ,120,98,65,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
23,Occlusion Manufacturing Equipment    ,199,177,72,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
24,Loaves Polishing Equipment           ,425,361,241,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
25,Automobiles Fillers                  ,283,227,218,TPC East    ,N/A,N/A,N/A,N/A,0,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,PEC
26,Simulations Photo Equipment          ,318,255,193,            ,N/A,N/A,N/A,N/A,0,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,PEC
27,Vastest Photo Equipment              ,498,442,294,            ,N/A,N/A,N/A,N/A,0,1,Photo Equipment        ,A        ,Processing Equipment    ,Equipment     ,PEC
28,Palm Polishing Equipment             ,122,105,87,            ,N/A,N/A,N/A,N/A,0,33,                       ,         ,                        ,              ,PEC
29,Millimeters Flushing Chemicals       ,295,251,241,TPC East    ,N/A,N/A,N/A,N/A,0,10,Flushing Chemicals     ,C        ,Chemicals               ,Chemicals     ,PEC
30,Suing Manufacturing Equipment        ,482,426,329,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
31,Bellowing Polishing Equipment        ,502,451,400,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
32,Embodying Cleaning Supplies          ,250,213,207,TPC West    ,N/A,N/A,N/A,N/A,0,5,Cleaning Supplies      ,B        ,Disposable Supplies     ,Supplies      ,PEC
33,Pervasively Manufacturing Equipment  ,374,334,303,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
34,Septembers Manufacturing Equipment   ,584,522,217,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
35,Birthdays Manufacturing Equipment    ,196,173,115,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
36,Duplicator Polishing Equipment       ,544,465,409,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
37,Escape Manufacturing Equipment       ,584,523,463,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
38,Commendation Fillers                 ,436,380,364,TPC West    ,N/A,N/A,N/A,N/A,0,12,Fillers                ,D        ,Miscellaneous           ,Misc          ,PEC
39,Disallow Manufacturing Equipment     ,165,145,97,            ,N/A,N/A,N/A,N/A,0,2,Manufacturing Equipment,A        ,Processing Equipment    ,Equipment     ,PEC
40,Subclasses Polishing Equipment       ,282,239,210,            ,N/A,N/A,N/A,N/A,0,3,Polishing Equipment    ,A        ,Processing Equipment    ,Equipment     ,PEC
